ab_centered_terracotta.css; AB centered Terracotta
AmpJukeStandard.css; Similar to 'good old' AmpJuke
Back2SchoolBlack.css;Back to school (Blackboard)
Back2SchoolWhite.css;Back to school (Whiteboard)
Big_blue.css;Big blue. Suitable for fairly large monitors.
Bright_Theme.css;Bright Theme. Made by Eigan.no
Empty.css;Empty - no theme
Highlighter.css;Highlighter
Icy.css;Icy
Jungle.css;Jungle
kutzaray.css;Kutzaray's Cool Theme
matrix.css;Matrix look-alike theme
minimal.css;Minimalistic theme
polonium-210.css;Polonium-210: A 'radioactive' appearance
responsive1.css;Responsive - 1
ShadesOfGrayBig.css; Shades of gray - big
ShadesOfGray.css; Shades of gray - medium
ShadesOfGraySmall.css; Shades of gray - small
Simple.css; A basic, simple layout
Small.css; An attempt to save space...
Typewriter.css;Typewriter

